"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.07593 0.9446 0.9446
0.07603 0.9559 0.9559
0.07613 0.9655 0.9655
0.07623 0.9169 0.9169
0.07633 0.9110 0.9110
0.07643 0.9211 0.9211
0.07653 0.9247 0.9247
0.07663 0.9284 0.9284
0.07673 0.9337 0.9337
0.07683 0.9373 0.9373
0.07693 0.9469 0.9469
0.07703 0.8972 0.8972
0.07713 0.7262 0.7262
0.07723 0.7388 0.7388
0.07732 0.8480 0.8480
0.07742 0.9134 0.9134
0.07752 0.9517 0.9517
0.07762 0.9625 0.9625
0.07772 0.9085 0.9085
0.07782 0.8912 0.8912
0.07792 0.8972 0.8972
0.07802 0.8972 0.8972
0.07812 0.8996 0.8996
0.07822 0.8990 0.8990
0.07832 0.9019 0.9019
0.07842 0.9019 0.9019
0.07852 0.9062 0.9062
0.07862 0.9061 0.9061
0.07872 0.9079 0.9079
0.07882 0.9091 0.9091
0.07891 0.9098 0.9098
0.07901 0.9109 0.9109
0.07911 0.9121 0.9121
0.07921 0.9133 0.9133
0.07931 0.9146 0.9146
0.07941 0.9145 0.9145
0.07951 0.9175 0.9175
0.07961 0.9170 0.9170
0.07971 0.9181 0.9181
0.07981 0.9187 0.9187
0.07991 0.9205 0.9205
0.08001 0.9224 0.9224
0.08011 0.9223 0.9223
0.08021 0.9259 0.9259
0.08031 0.9259 0.9259
0.08041 0.9284 0.9284
0.08050 0.9283 0.9283
0.08060 0.9295 0.9295
0.08070 0.9319 0.9319
0.08080 0.9320 0.9320
0.08090 0.9331 0.9331
0.08100 0.9337 0.9337
0.08110 0.9350 0.9350
0.08120 0.9343 0.9343
0.08130 0.9367 0.9367
0.08140 0.9361 0.9361
0.08150 0.9374 0.9374
0.08160 0.9397 0.9397
0.08170 0.9469 0.9469
0.08180 0.9025 0.9025
0.08190 0.8948 0.8948
0.08200 0.9001 0.9001
0.08210 0.9043 0.9043
0.08219 0.9061 0.9061
0.08229 0.9062 0.9062
0.08239 0.9103 0.9103
0.08249 0.9121 0.9121
0.08259 0.9170 0.9170
0.08269 0.9175 0.9175
0.08279 0.9205 0.9205
0.08289 0.9205 0.9205
0.08299 0.9224 0.9224
0.08309 0.9229 0.9229
0.08319 0.9235 0.9235
0.08329 0.9247 0.9247
0.08339 0.9260 0.9260
0.08349 0.9253 0.9253
0.08359 0.9277 0.9277
0.08369 0.9277 0.9277
0.08378 0.9272 0.9272
0.08388 0.9277 0.9277
0.08398 0.9289 0.9289
0.08408 0.9284 0.9284
0.08418 0.9289 0.9289
0.08428 0.9295 0.9295
0.08438 0.9301 0.9301
0.08448 0.9308 0.9308
0.08458 0.9325 0.9325
0.08468 0.9337 0.9337
0.08478 0.9337 0.9337
0.08488 0.9374 0.9374
0.08498 0.9373 0.9373
0.08508 0.9391 0.9391
0.08518 0.9397 0.9397
0.08528 0.9416 0.9416
0.08537 0.9415 0.9415
0.08547 0.9433 0.9433
0.08557 0.9470 0.9470
0.08567 0.9511 0.9511
0.08577 0.9529 0.9529
0.08587 0.9565 0.9565
0.08597 0.9632 0.9632
0.08607 0.9721 0.9721
0.08617 0.9553 0.9553
0.08627 0.8930 0.8930
0.08637 0.9008 0.9008
0.08647 0.9163 0.9163
0.08657 0.9259 0.9259
0.08667 0.9337 0.9337
0.08677 0.9452 0.9452
0.08687 0.9541 0.9541
0.08697 0.9103 0.9103
0.08706 0.9170 0.9170
0.08716 0.9217 0.9217
0.08726 0.9247 0.9247
0.08736 0.9307 0.9307
0.08746 0.9326 0.9326
0.08756 0.9343 0.9343
0.08766 0.9391 0.9391
0.08776 0.9451 0.9451
0.08786 0.9488 0.9488
0.08796 0.9553 0.9553
0.08806 0.9625 0.9625
0.08816 0.7856 0.7856
0.08826 0.7341 0.7341
0.08836 0.7490 0.7490
0.08846 0.8630 0.8630
0.08856 0.9524 0.9524
0.08865 0.9601 0.9601
0.08875 0.9043 0.9043
0.08885 0.9055 0.9055
0.08895 0.9068 0.9068
0.08905 0.9097 0.9097
0.08915 0.9091 0.9091
0.08925 0.9103 0.9103
0.08935 0.9122 0.9122
0.08945 0.9145 0.9145
0.08955 0.9163 0.9163
0.08965 0.9181 0.9181
0.08975 0.9206 0.9206
0.08985 0.9211 0.9211
0.08995 0.9217 0.9217
0.09005 0.9242 0.9242
0.09015 0.9229 0.9229
0.09024 0.9241 0.9241
0.09034 0.9247 0.9247
0.09044 0.9254 0.9254
0.09054 0.9259 0.9259
0.09064 0.9277 0.9277
0.09074 0.9277 0.9277
0.09084 0.9296 0.9296
0.09094 0.9307 0.9307
0.09104 0.9301 0.9301
0.09114 0.9307 0.9307
0.09124 0.9338 0.9338
0.09134 0.9379 0.9379
0.09144 0.9385 0.9385
0.09154 0.9422 0.9422
