"DataSource","Name","BasinName","ClassName","Mosaic","MosaicDateStart","MosaicDateEnd","ObservedArea","ObservedAreaWater","PercentObserved","PercentWater","EstimatedAreaWater","Threshold"
"Ducks Unlimited","Tulare Treated Wetland","Tulare","Treated Wetland","L8_valley_20130511to20130519_water.tif","2013-05-11","2013-05-19",6919200,3342150,100,48.3025494276795,3342150,0.07897201
"Ducks Unlimited","Yolo Rice","Yolo","Rice","L8_valley_20130511to20130519_water.tif","2013-05-11","2013-05-19",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Yolo Seasonal Wetland","Yolo","Seasonal Wetland","L8_valley_20130511to20130519_water.tif","2013-05-11","2013-05-19",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Yolo Semi-permanent Wetland","Yolo","Semi-permanent Wetland","L8_valley_20130511to20130519_water.tif","2013-05-11","2013-05-19",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Yolo Treated Wetland","Yolo","Treated Wetland","L8_valley_20130511to20130519_water.tif","2013-05-11","2013-05-19",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","American Rice","American","Rice","L8_valley_20130518to20130527_water.tif","2013-05-18","2013-05-27",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","American Seasonal Wetland","American","Seasonal Wetland","L8_valley_20130518to20130527_water.tif","2013-05-18","2013-05-27",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","American Semi-permanent Wetland","American","Semi-permanent Wetland","L8_valley_20130518to20130527_water.tif","2013-05-18","2013-05-27",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Butte Rice","Butte","Rice","L8_valley_20130518to20130527_water.tif","2013-05-18","2013-05-27",0,NA,NA,NA,NA,0.07897201
"Ducks Unlimited","Butte Seasonal Wetland","Butte","Seasonal Wetland","L8_valley_20130518to20130527_water.tif","2013-05-18","2013-05-27",0,NA,NA,NA,NA,0.07897201
