"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.06391 0.9691 0.9691
0.06401 0.9734 0.9734
0.06411 0.9739 0.9739
0.06421 0.9727 0.9727
0.06430 0.9697 0.9697
0.06440 0.9704 0.9704
0.06450 0.9715 0.9715
0.06460 0.9709 0.9709
0.06470 0.9752 0.9752
0.06480 0.9781 0.9781
0.06490 0.9733 0.9733
0.06500 0.9739 0.9739
0.06510 0.9800 0.9800
0.06520 0.9763 0.9763
0.06530 0.9799 0.9799
0.06540 0.9391 0.9391
0.06550 0.8978 0.8978
0.06560 0.9013 0.9013
0.06570 0.8924 0.8924
0.06580 0.9067 0.9067
0.06589 0.9062 0.9062
0.06599 0.9109 0.9109
0.06609 0.9145 0.9145
0.06619 0.9152 0.9152
0.06629 0.9157 0.9157
0.06639 0.9187 0.9187
0.06649 0.9181 0.9181
0.06659 0.9242 0.9242
0.06669 0.9271 0.9271
0.06679 0.9265 0.9265
0.06689 0.9283 0.9283
0.06699 0.9302 0.9302
0.06709 0.9343 0.9343
0.06719 0.9349 0.9349
0.06729 0.9367 0.9367
0.06739 0.9386 0.9386
0.06748 0.9409 0.9409
0.06758 0.9421 0.9421
0.06768 0.9434 0.9434
0.06778 0.9469 0.9469
0.06788 0.9505 0.9505
0.06798 0.9529 0.9529
0.06808 0.9524 0.9524
0.06818 0.9547 0.9547
0.06828 0.9547 0.9547
0.06838 0.9547 0.9547
0.06848 0.9572 0.9572
0.06858 0.9589 0.9589
0.06868 0.9595 0.9595
0.06878 0.9619 0.9619
0.06888 0.9632 0.9632
0.06898 0.9637 0.9637
0.06908 0.9643 0.9643
0.06917 0.9662 0.9662
0.06927 0.9673 0.9673
0.06937 0.9691 0.9691
0.06947 0.9703 0.9703
0.06957 0.9716 0.9716
0.06967 0.9721 0.9721
0.06977 0.9739 0.9739
0.06987 0.9763 0.9763
0.06997 0.9794 0.9794
0.07007 0.9811 0.9811
0.07017 0.9859 0.9859
0.07027 0.9955 0.9955
0.07037 0.9674 0.9674
0.07047 0.9805 0.9805
0.07057 0.9853 0.9853
0.07067 0.9782 0.9782
0.07076 0.9727 0.9727
0.07086 0.9847 0.9847
0.07096 0.9805 0.9805
0.07106 0.9614 0.9614
0.07116 0.9733 0.9733
0.07126 0.9841 0.9841
0.07136 0.9751 0.9751
0.07146 0.9860 0.9860
0.07156 0.9961 0.9961
0.07166 0.9811 0.9811
0.07176 0.9595 0.9595
0.07186 0.8816 0.8816
0.07196 0.9061 0.9061
0.07206 0.9079 0.9079
0.07216 0.9092 0.9092
0.07226 0.9097 0.9097
0.07236 0.9169 0.9169
0.07245 0.9199 0.9199
0.07255 0.9260 0.9260
0.07265 0.9289 0.9289
0.07275 0.9313 0.9313
0.07285 0.9343 0.9343
0.07295 0.9386 0.9386
0.07305 0.9445 0.9445
0.07315 0.9475 0.9475
0.07325 0.9505 0.9505
0.07335 0.9566 0.9566
0.07345 0.9631 0.9631
0.07355 0.9727 0.9727
0.07365 0.8288 0.8288
0.07375 0.6747 0.6747
0.07385 0.6759 0.6759
0.07395 0.6759 0.6759
0.07404 0.6777 0.6777
0.07414 0.6777 0.6777
0.07424 0.6801 0.6801
0.07434 0.6807 0.6807
0.07444 0.6849 0.6849
0.07454 0.7568 0.7568
0.07464 0.8948 0.8948
0.07474 0.9007 0.9007
0.07484 0.8996 0.8996
0.07494 0.8348 0.8348
0.07504 0.9043 0.9043
0.07514 0.9080 0.9080
0.07524 0.9025 0.9025
0.07534 0.9217 0.9217
0.07544 0.9217 0.9217
0.07554 0.9290 0.9290
0.07563 0.9703 0.9703
0.07573 0.9289 0.9289
0.07583 0.9277 0.9277
0.07593 0.9632 0.9632
0.07603 0.9697 0.9697
0.07613 0.9679 0.9679
0.07623 0.9319 0.9319
0.07633 0.9758 0.9758
0.07643 0.9757 0.9757
0.07653 0.9463 0.9463
0.07663 0.9494 0.9494
0.07673 0.9505 0.9505
0.07683 0.9823 0.9823
0.07693 0.9493 0.9493
0.07703 0.9812 0.9812
0.07713 0.9607 0.9607
0.07723 0.9439 0.9439
0.07732 0.9217 0.9217
0.07742 0.9434 0.9434
0.07752 0.9691 0.9691
0.07762 0.9211 0.9211
0.07772 0.9103 0.9103
0.07782 0.9104 0.9104
0.07792 0.9157 0.9157
0.07802 0.9181 0.9181
0.07812 0.9212 0.9212
0.07822 0.9235 0.9235
0.07832 0.9247 0.9247
0.07842 0.9265 0.9265
0.07852 0.9272 0.9272
0.07862 0.9289 0.9289
0.07872 0.9283 0.9283
0.07882 0.9295 0.9295
0.07891 0.9308 0.9308
0.07901 0.9331 0.9331
0.07911 0.9325 0.9325
0.07921 0.9349 0.9349
0.07931 0.9368 0.9368
0.07941 0.9379 0.9379
0.07951 0.9373 0.9373
0.07961 0.9374 0.9374
0.07971 0.9391 0.9391
0.07981 0.9403 0.9403
0.07991 0.9415 0.9415
0.08001 0.9416 0.9416
