"rank" "feature_density_pos" "weighted_feature_density_pos" "feature_density_zero" 
0.06609 0.7838 0.7838 0.8714
0.06619 0.7953 0.7953 0.8540
0.06629 0.8270 0.8270 0.9091
0.06639 0.8558 0.8558 1.1286
0.06649 0.7874 0.7874 1.1538
0.06659 0.8378 0.8378 1.1647
0.06669 0.7400 0.7400 0.8522
0.06679 0.7400 0.7400 0.8570
0.06689 0.7430 0.7430 0.8642
0.06699 0.7437 0.7437 0.8570
0.06709 0.7454 0.7454 0.8756
0.06719 0.7484 0.7484 0.8774
0.06729 0.7484 0.7484 0.8714
0.06739 0.7497 0.7497 0.8744
0.06748 0.7508 0.7508 0.8606
0.06758 0.7526 0.7526 0.8726
0.06768 0.7527 0.7527 0.8546
0.06778 0.7580 0.7580 0.8660
0.06788 0.7652 0.7652 0.8762
0.06798 0.7682 0.7682 0.8714
0.06808 0.7743 0.7743 0.8672
0.06818 0.7760 0.7760 0.8852
0.06828 0.7796 0.7796 0.8744
